Date,Sessions
2014-03,54
2014-04,218
2014-05,108
2014-06,92
2014-07,70
2014-08,96
2014-09,273
2014-10,234
2014-11,373
2014-12,172
2015-01,234
2015-02,329
2015-03,335
2015-04,247
2015-05,47
2015-06,140
2015-07,52
2015-08,65
2015-09,243
2015-10,151
2015-11,266
2015-12,107
2016-01,329
2016-02,200
2016-03,240
2016-04,293
2016-05,228
2016-06,296
2016-07,148
2016-08,254
2016-09,691
2016-10,415
2016-11,485
2016-12,215
2017-01,681
2017-02,665
2017-03,570
2017-04,564
2017-05,247
2017-06,568
2017-07,1224
2017-08,1142
2017-09,2671
2017-10,2817
2017-11,2678
2017-12,1436
2018-01,1814
2018-02,2380
2018-03,2610
2018-04,2633
2018-05,1096
2018-06,598
2018-07,1076
2018-08,575
2018-09,2400
2018-10,2710
2018-11,2140
2018-12,1302
2019-01,1072
2019-02,2024
2019-03,2320
2019-04,2238
2019-05,1213
2019-06,785
2019-07,1142
2019-08,602
2019-09,2698
2019-10,2923
2019-11,2599
2019-12,1668
2020-01,1456
2020-02,2635
2020-03,1429
2020-04,1559
2020-05,895
2020-06,761
2020-07,1183
2020-08,968
2020-09,2917
2020-10,2796
2020-11,2481
2020-12,1687
2021-01,1739
2021-02,2925
2021-03,2097
2021-04,2052
2021-05,1066
2021-06,826
2021-07,1291
2021-08,1283
2021-09,2567
2021-10,2194
2021-11,1655
2021-12,1221
2022-01,1395
2022-02,2338
2022-03,1832
2022-04,1797
2022-05,846
2022-06,776
2022-07,1275
2022-08,1255
2022-09,2686
2022-10,2191
2022-11,1625
2022-12,960
2023-01,1789
2023-02,2043
2023-03,1765
2023-04,1671
2023-05,169
